[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001704s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011035s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.094242s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.009828s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.076409s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.015353s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.081379s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.001757s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.051804s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.051966s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.080480s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.080654s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.001308s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001543s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000927s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001402s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005498s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001377s ]
[ 2012-09-02T10:42:01+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001492s ]
[ 2012-09-02T10:44:01+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
