[ 2012-11-28T19:21:28+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-28T19:21:28+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014008s ]
[ 2012-11-28T19:21:28+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.023066s ]
[ 2012-11-28T19:21:28+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 6 行.
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.187305s ]
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0 ORDER BY id asc  [ RunTime:0.075428s ]
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.252376s ]
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link` ORDER BY id desc  [ RunTime:0.106659s ]
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.091414s ]
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi` ORDER BY id desc  [ RunTime:0.002230s ]
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-11-28T19:21:29+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-11-28T19:21:30+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.209874s ]
[ 2012-11-28T19:21:30+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.209979s ]
[ 2012-11-28T19:21:30+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-28T19:21:30+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.328277s ]
