[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000933s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001035s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000887s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000979s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | NOTIC: [8] Undefined variable: title d046431aa157c89f3a1c30c426be003b.php 第 4 行.
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | NOTIC: [8] Undefined variable: news_list d046431aa157c89f3a1c30c426be003b.php 第 8 行.
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010017s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010093s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000559s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000534s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000377s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000749s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002394s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000703s ]
[ 2012-08-21T22:30:27+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000769s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000594s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000695s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.023424s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | SQL: SELECT * FROM `think_admin` LIMIT 1   [ RunTime:0.000832s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000494s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000562s ]
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | NOTIC: [8] Undefined variable: news_list d046431aa157c89f3a1c30c426be003b.php 第 8 行.
[ 2012-08-21T22:30:47+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009242s ]
