[ 2012-08-22T09:23:13+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T09:23:13+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000674s ]
[ 2012-08-22T09:23:13+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000775s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.031054s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | SQL: SELECT * FROM `think_admin` LIMIT 1   [ RunTime:0.002769s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003123s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.000569s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 16 行.
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.020880s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.020992s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.026703s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026810s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000427s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000611s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000257s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000502s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001972s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000470s ]
[ 2012-08-22T09:23:14+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000532s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001763s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001884s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.020798s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | SQL: SELECT * FROM `think_admin` LIMIT 1   [ RunTime:0.001107s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005137s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.001616s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 16 行.
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001750s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001937s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014116s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014229s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.001112s ]
[ 2012-08-22T09:32:57+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000955s ]
