[ 2012-09-19T23:20:43+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000914s ]
[ 2012-09-19T23:20:43+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.001003s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ route_check ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run CheckRoute Behavior [ RunTime:0.001165s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ route_check ] --END-- [ RunTime:0.001268s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ app_begin ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000824s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000891s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_template ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_template ] --END-- [ RunTime:0.001131s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_parse ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | NOTIC: [8] Undefined variable: title 30a99878984c7f18aa9ebcf65c3d6f43.php 第 10 行.
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ParseTemplate Behavior [ RunTime:0.011113s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011193s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_filter ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ContentReplace Behavior [ RunTime:0.000577s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run TokenBuild Behavior [ RunTime:0.000553s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000426s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ShowRuntime Behavior [ RunTime:0.000644s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002388s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_end ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ShowPageTrace Behavior [ RunTime:0.000594s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_end ] --END-- [ RunTime:0.000657s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ route_check ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run CheckRoute Behavior [ RunTime:0.000991s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ route_check ] --END-- [ RunTime:0.001114s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ app_begin ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000785s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001160s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002308s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_template ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run LocationTemplate Behavior [ RunTime:0.000910s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_template ] --END-- [ RunTime:0.001001s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_parse ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run ParseTemplate Behavior [ RunTime:0.009133s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009250s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_filter ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run ContentReplace Behavior [ RunTime:0.000474s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run TokenBuild Behavior [ RunTime:0.000540s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000340s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run ShowRuntime Behavior [ RunTime:0.000551s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002261s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_end ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Run ShowPageTrace Behavior [ RunTime:0.000526s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ view_end ] --END-- [ RunTime:0.000595s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001616s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001758s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001089s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001217s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001580s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001772s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 30a99878984c7f18aa9ebcf65c3d6f43.php 第 10 行.
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.017286s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017368s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000594s ]
