[ 2012-09-23T08:49:14+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-23T08:49:14+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002336s ]
[ 2012-09-23T08:49:14+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011289s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.092582s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.001528s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.083602s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.018165s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.058519s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000649s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.059856s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.059967s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.096302s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.096420s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000895s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001022s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000646s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000967s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003731s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000927s ]
[ 2012-09-23T08:49:15+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000993s ]
[ 2012-09-23T09:05:51+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-23T09:05:51+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001006s ]
[ 2012-09-23T09:05:51+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001126s ]
[ 2012-09-23T09:05:51+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002270s ]
[ 2012-09-23T09:05:51+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000314s ]
