[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001272s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001373s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 6 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002149s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0 ORDER BY id asc  [ RunTime:0.000543s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.002302s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link` ORDER BY id desc  [ RunTime:0.000616s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.058240s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi` ORDER BY id desc  [ RunTime:0.000709s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.033475s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.033568s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: addr d046431aa157c89f3a1c30c426be003b.php 第 127 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: addr d046431aa157c89f3a1c30c426be003b.php 第 128 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: addr d046431aa157c89f3a1c30c426be003b.php 第 129 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.033739s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033817s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.004034s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001527s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001103s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001269s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008208s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001327s ]
[ 2012-12-24T13:17:04+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001398s ]
