[ 2012-09-24T18:57:35+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-24T18:57:35+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002009s ]
[ 2012-09-24T18:57:35+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011080s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.093146s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.010725s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.096944s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.017568s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.071779s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000342s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.058281s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.058394s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.118516s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.118638s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.001093s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001147s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000699s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000946s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004073s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000906s ]
[ 2012-09-24T18:57:36+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000970s ]
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --START--
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run CheckRoute Behavior [ RunTime:0.000887s ]
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.000992s ]
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --START--
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000654s ]
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000726s ]
[ 2012-09-24T19:43:05+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.003489s ]
