[ 2012-09-14T22:49:02+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001596s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000864s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001055s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.005166s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.023440s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.003641s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.001039s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.004578s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.013080s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000777s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000886s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.053427s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.053579s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000718s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000660s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000863s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001051s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003576s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002576s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002694s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001221s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001373s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.010248s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.012010s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.003503s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.013221s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.004624s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.004119s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001020s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001762s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.021859s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022326s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000621s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.002193s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.009474s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001154s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013759s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000931s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001027s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
