[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_template ] --START--
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run LocationTemplate Behavior [ RunTime:0.038085s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_template ] --END-- [ RunTime:0.038213s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_parse ] --START--
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run ParseTemplate Behavior [ RunTime:0.042843s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042967s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_filter ] --START--
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run ContentReplace Behavior [ RunTime:0.014196s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run TokenBuild Behavior [ RunTime:0.001246s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000750s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run ShowRuntime Behavior [ RunTime:0.001187s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017635s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_end ] --START--
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Run ShowPageTrace Behavior [ RunTime:0.017425s ]
[ 2012-10-06T00:24:15+08:00 ] /xxx2/index.php/Show/show/id/%E4%BA%BA%E5%91%98 | INFO: Tag[ view_end ] --END-- [ RunTime:0.017603s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ route_check ] --START--
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Run CheckRoute Behavior [ RunTime:0.013896s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.014034s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001348s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001414s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.023909s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | SQL: SELECT `id`,`f_cata`,`s_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` ORDER BY id asc  [ RunTime:0.000951s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.029204s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | SQL: SELECT `id`,`addr`,`info` FROM `think_link` ORDER BY id asc  [ RunTime:0.017948s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.013658s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi` ORDER BY id asc  [ RunTime:0.000598s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_template ] --START--
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Run LocationTemplate Behavior [ RunTime:0.011140s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.011231s ]
[ 2012-10-06T01:13:16+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | NOTIC: [8] Undefined variable: count 4114fbf5f7e547e5b806b05cdf8d53ce.php 第 49 行.
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Run ParseTemplate Behavior [ RunTime:0.063140s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.063224s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Run ContentReplace Behavior [ RunTime:0.000897s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Run TokenBuild Behavior [ RunTime:0.000840s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000747s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000962s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003633s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_end ] --START--
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000901s ]
[ 2012-10-06T01:13:17+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000965s ]
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ route_check ] --START--
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/show | INFO: Run CheckRoute Behavior [ RunTime:0.022780s ]
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.022907s ]
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ app_begin ] --START--
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001256s ]
[ 2012-10-06T01:13:21+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001358s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | NOTIC: [8] Undefined index: id ShowAction.class.php 第 32 行.
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_template ] --START--
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run LocationTemplate Behavior [ RunTime:0.013366s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_template ] --END-- [ RunTime:0.013502s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_parse ] --START--
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | NOTIC: [8] Undefined variable: content_list b6c27305877664492e2dc85072d532a8.php 第 30 行.
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run ParseTemplate Behavior [ RunTime:0.040478s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040581s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_filter ] --START--
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run ContentReplace Behavior [ RunTime:0.000687s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run TokenBuild Behavior [ RunTime:0.000684s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000532s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run ShowRuntime Behavior [ RunTime:0.000786s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002866s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_end ] --START--
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Run ShowPageTrace Behavior [ RunTime:0.000749s ]
[ 2012-10-06T01:13:22+08:00 ] /xxx2/index.php/Show/show | INFO: Tag[ view_end ] --END-- [ RunTime:0.000811s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ route_check ] --START--
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Run CheckRoute Behavior [ RunTime:0.001910s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002053s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001246s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001321s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.067844s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | SQL: SELECT `id`,`f_cata`,`s_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` ORDER BY id asc  [ RunTime:0.000583s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.107284s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | SQL: SELECT `id`,`addr`,`info` FROM `think_link` ORDER BY id asc  [ RunTime:0.017823s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.013815s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi` ORDER BY id asc  [ RunTime:0.000445s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_template ] --START--
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Run LocationTemplate Behavior [ RunTime:0.011075s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.011168s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | NOTIC: [8] Undefined variable: count 4114fbf5f7e547e5b806b05cdf8d53ce.php 第 49 行.
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Run ParseTemplate Behavior [ RunTime:0.081678s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.081763s ]
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-06T01:16:19+08:00 ] /xxx2/index.php/Show/index | INFO: Run ContentReplace Behavior [ RunTime:0.000917s ]
