[ 2012-11-04T20:12:25+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-04T20:12:25+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.019462s ]
[ 2012-11-04T20:12:25+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.020142s ]
[ 2012-11-04T20:12:25+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 6 行.
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.213647s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0 ORDER BY id asc  [ RunTime:0.012611s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.074187s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link` ORDER BY id desc  [ RunTime:0.018220s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.057794s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi` ORDER BY id desc  [ RunTime:0.000784s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.045721s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.045833s ]
[ 2012-11-04T20:12:26+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
