[ 2012-11-30T10:25:20+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-30T10:25:20+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.015142s ]
[ 2012-11-30T10:25:20+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.021208s ]
[ 2012-11-30T10:25:20+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 6 行.
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.178221s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0 ORDER BY id asc  [ RunTime:0.095963s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.080426s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link` ORDER BY id desc  [ RunTime:0.046219s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.064062s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi` ORDER BY id desc  [ RunTime:0.003965s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.040080s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.040208s ]
[ 2012-11-30T10:25:21+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: addr d046431aa157c89f3a1c30c426be003b.php 第 89 行.
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: addr d046431aa157c89f3a1c30c426be003b.php 第 90 行.
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: addr d046431aa157c89f3a1c30c426be003b.php 第 91 行.
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.288838s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.288925s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.010828s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.057590s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000972s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.024030s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.093703s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\home\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.008200s ]
[ 2012-11-30T10:25:22+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.008325s ]
[ 2012-11-30T10:27:33+08:00 ] /xxx2/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2012-11-30T10:27:33+08:00 ] /xxx2/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.023828s ]
[ 2012-11-30T10:27:33+08:00 ] /xxx2/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.023962s ]
[ 2012-11-30T10:27:33+08:00 ] /xxx2/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2012-11-30T10:27:33+08:00 ] /xxx2/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000827s ]
[ 2012-11-30T10:27:33+08:00 ] /xxx2/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000893s ]
