[ 2012-08-17T09:49:07+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T09:49:07+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002012s ]
[ 2012-08-17T09:49:07+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002385s ]
[ 2012-08-17T09:49:07+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.002213s ]
[ 2012-08-17T09:49:07+08:00 ] /xxx2/ | SQL: SELECT * FROM `think_admin` LIMIT 1   [ RunTime:0.001087s ]
[ 2012-08-17T09:49:07+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.109267s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.109391s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | NOTIC: [8] Undefined variable: news_list d046431aa157c89f3a1c30c426be003b.php 第 8 行.
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.416729s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.416819s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.006403s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.084514s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.010179s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001750s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.103207s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\ThinkPHP\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\ThinkPHP\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\ThinkPHP\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.017201s ]
[ 2012-08-17T09:49:08+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.017303s ]
