[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.013853s ]
[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.019969s ]
[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.106284s ]
[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.013792s ]
[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.071815s ]
[ 2012-09-10T13:05:47+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.020390s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.083015s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.001234s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.051041s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.051149s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.069521s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069641s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.001359s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001089s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000687s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000952s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004291s ]
[ 2012-09-10T13:05:48+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
