[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001010s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001149s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000688s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000762s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000964s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001064s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.096819s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.096944s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000457s ]
[ 2012-10-01T18:46:28+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000609s ]
