[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000452s ]
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000503s ]
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000298s ]
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000552s ]
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001979s ]
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000505s ]
[ 2013-01-03T10:00:40+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000568s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run CheckRoute Behavior [ RunTime:0.001355s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001474s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000704s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000769s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.166326s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.166450s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.038911s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039000s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ContentReplace Behavior [ RunTime:0.000916s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run TokenBuild Behavior [ RunTime:0.000879s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000602s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.000875s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003510s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001351s ]
[ 2013-01-03T10:00:51+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001450s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000959s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001070s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000981s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001054s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001434s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001514s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.014823s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014906s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000566s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.001791s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001021s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000713s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004461s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000635s ]
[ 2013-01-03T10:00:52+08:00 ] /xxx2/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000723s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.001134s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001259s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000788s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000861s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 35 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.022221s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined index: id ArticleAction.class.php 第 39 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | SQL: SELECT `id`,`f_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` WHERE f_id='0'  [ RunTime:0.001289s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run LocationTemplate Behavior [ RunTime:0.012690s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.012800s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 66 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 66 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 140 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 170 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 176 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ParseTemplate Behavior [ RunTime:0.038213s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038291s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ContentReplace Behavior [ RunTime:0.000828s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run TokenBuild Behavior [ RunTime:0.001096s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000662s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000865s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003641s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000858s ]
[ 2013-01-03T10:00:56+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000921s ]
[ 2013-01-03T10:00:57+08:00 ] /xxx2/admin.php/Article/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run CheckRoute Behavior [ RunTime:0.000958s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ route_check ] --END-- [ RunTime:0.001070s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000732s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000797s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 67 行.
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002350s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | SQL: SELECT * FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000484s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | NOTIC: [8] Undefined index: select ArticleAction.class.php 第 74 行.
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | SQL: SHOW COLUMNS FROM `think_cata` [ RunTime:0.125310s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | SQL: SELECT COUNT(*) AS tp_count FROM `think_cata` LIMIT 1   [ RunTime:0.012452s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | SQL: SELECT `id`,`title`,`Catalog`,`f_catalog`,`user`,`title`,`dt` FROM `think_cata` ORDER BY id desc LIMIT 0,8   [ RunTime:0.048643s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run LocationTemplate Behavior [ RunTime:0.001441s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_template ] --END-- [ RunTime:0.001521s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run ParseTemplate Behavior [ RunTime:0.030995s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031110s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run ContentReplace Behavior [ RunTime:0.000601s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run TokenBuild Behavior [ RunTime:0.000778s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000651s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run ShowRuntime Behavior [ RunTime:0.000687s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002954s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Run ShowPageTrace Behavior [ RunTime:0.000999s ]
[ 2013-01-03T10:00:58+08:00 ] /xxx2/admin.php/Article/lis | INFO: Tag[ view_end ] --END-- [ RunTime:0.001105s ]
