[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.019375s ]
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.019515s ]
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000978s ]
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001065s ]
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.081166s ]
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.081321s ]
[ 2012-12-02T13:53:02+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.088147s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.088291s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001093s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001334s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000872s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001215s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005041s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 122 行.
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2012-12-02T13:53:03+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001502s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.003056s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003214s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000917s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000996s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001343s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001486s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000910s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000991s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001866s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.002009s ]
[ 2012-12-02T13:53:04+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.008491s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008608s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000533s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000522s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000310s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000612s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002170s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 122 行.
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000661s ]
[ 2012-12-02T13:53:05+08:00 ] /xxx2/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000740s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ route_check ] --START--
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run CheckRoute Behavior [ RunTime:0.001024s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001140s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ app_begin ] --START--
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000674s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000741s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_template ] --START--
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.120273s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.120395s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_parse ] --START--
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.165226s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.165327s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_filter ] --START--
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ContentReplace Behavior [ RunTime:0.001148s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run TokenBuild Behavior [ RunTime:0.000978s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000959s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.000969s ]
[ 2012-12-02T13:53:12+08:00 ] /xxx2/admin.php/Index/index/username/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004281s ]
