[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ParseTemplate Behavior [ RunTime:0.017978s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018056s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_filter ] --START--
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ContentReplace Behavior [ RunTime:0.000735s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run TokenBuild Behavior [ RunTime:0.000642s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000423s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ShowRuntime Behavior [ RunTime:0.000656s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002647s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_end ] --START--
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ShowPageTrace Behavior [ RunTime:0.000887s ]
[ 2012-09-11T00:05:11+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ view_end ] --END-- [ RunTime:0.000972s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ route_check ] --START--
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run CheckRoute Behavior [ RunTime:0.000909s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001020s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ app_begin ] --START--
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000574s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000636s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002686s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | SQL: SELECT `id`,`f_cata`,`s_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` WHERE f_id='0' and id='4'  [ RunTime:0.000458s ]
