[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000572s ]
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.001529s ]
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000568s ]
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000764s ]
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003661s ]
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 122 行.
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000726s ]
[ 2012-08-09T23:28:23+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000800s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run CheckRoute Behavior [ RunTime:0.001077s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001205s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000734s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000815s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003368s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.003828s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.009845s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.001283s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001369s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ParseTemplate Behavior [ RunTime:0.016625s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016739s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ContentReplace Behavior [ RunTime:0.000821s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run TokenBuild Behavior [ RunTime:0.000811s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000514s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ShowRuntime Behavior [ RunTime:0.001352s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003723s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000982s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001117s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000970s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001086s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000744s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000819s ]
[ 2012-08-09T23:28:55+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004250s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.007781s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.002532s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001321s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001434s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.023781s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023904s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000821s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000834s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000536s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000917s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003327s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000971s ]
[ 2012-08-09T23:28:56+08:00 ] /xxx/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.001091s ]
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.001037s ]
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001164s ]
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000733s ]
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000807s ]
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 11 行.
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8] Undefined index: id ArticleAction.class.php 第 13 行.
