[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002369s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003895s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001490s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001629s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.013623s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.013807s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.034356s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034533s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.003001s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001393s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000937s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001370s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007063s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001344s ]
[ 2012-09-16T14:00:39+08:00 ] /xxx2/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001487s ]
[ 2012-09-16T14:00:40+08:00 ] /xxx2/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-16T14:00:40+08:00 ] /xxx2/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002228s ]
[ 2012-09-16T14:00:40+08:00 ] /xxx2/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002356s ]
